instrument,platform
LL_235038644_LL_LLControl_NA_NA_NA_metaphlan,LL_LLControl_NA_NA_NA
CR_235058138_25C_Table_Left_Middle_NA_metaphlan,25C_Table_Left_Middle_NA
CR_235058142_25C_Table_Middle_Back_NA_metaphlan,25C_Table_Middle_Back_NA
CR_235039550_25C_Table_Middle_Front_NA_metaphlan,25C_Table_Middle_Front_NA
CR_235059319_25C_Table_Middle_Middle_NA_metaphlan,25C_Table_Middle_Middle_NA
CR_235039593_25C_Wall_Left_Middle_NA_metaphlan,25C_Wall_Left_Middle_NA
CR_235057562_25C_Wall_Middle_Back_NA_metaphlan,25C_Wall_Middle_Back_NA
CR_235038635_25C_Wall_Right_Front_Lightswitch_metaphlan,25C_Wall_Right_Front_Lightswitch
CR_235038666_25C_Wall_Right_Middle_NA_metaphlan,25C_Wall_Right_Middle_NA
CR_235038667_25C_25CControl_NA_NA_NA_metaphlan,25C_25CControl_NA_NA_NA
