detector,indentifier,unit
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_unclassified,NCBITaxon_2642485,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella,NCBITaxon_34084,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified,NCBITaxon_2621199,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,NCBITaxon_117747,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales,NCBITaxon_200666,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,NCBITaxon_84566,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter,NCBITaxon_84567,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified,NCBITaxon_2628915,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,NCBITaxon_28453,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_unclassified,NCBITaxon_2609468,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname,NCBITaxon_1159429,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname|g__Niabella,NCBITaxon_379899,UO:0000187
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname|g__Niabella|s__Niabella_unclassified,NCBITaxon_2646634,UO:0000187
k__Bacteria|p__Chloroflexi,NCBITaxon_200795,UO:0000187
k__Bacteria|p__Chloroflexi|c__Chloroflexi,NCBITaxon_32061,UO:0000187
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales,NCBITaxon_189772,UO:0000187
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales|f__Herpetosiphonaceae,NCBITaxon_189773,UO:0000187
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon,NCBITaxon_64,UO:0000187
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon|s__Herpetosiphon_aurantiacus,NCBITaxon_65,UO:0000187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia,NCBITaxon_189775,UO:0000187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales,NCBITaxon_85001,UO:0000187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae,NCBITaxon_85002,UO:0000187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter,NCBITaxon_2056,UO:0000187
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter|s__Sphaerobacter_thermophilus,NCBITaxon_2057,UO:0000187
k__Bacteria|p__Deinococcus_Thermus,NCBITaxon_1297,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,NCBITaxon_188787,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,NCBITaxon_118964,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,NCBITaxon_183710,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,NCBITaxon_1298,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,NCBITaxon_2623546,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified,NCBITaxon_2478478,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales,NCBITaxon_68933,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae,NCBITaxon_188786,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus,NCBITaxon_270,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus,NCBITaxon_274,UO:0000187
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_unclassified,NCBITaxon_2619321,UO:0000187
k__Bacteria|p__Firmicutes,NCBITaxon_1239,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli,NCBITaxon_91061,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,NCBITaxon_1385,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,NCBITaxon_186817,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,NCBITaxon_1386,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium,NCBITaxon_1404,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname,NCBITaxon_186825,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Exiguobacterium,NCBITaxon_33986,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Exiguobacterium|s__Exiguobacterium_sibiricum,NCBITaxon_332410,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Exiguobacterium|s__Exiguobacterium_unclassified,NCBITaxon_2644629,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella,NCBITaxon_1378,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_unclassified,NCBITaxon_2624949,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,NCBITaxon_90964,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,NCBITaxon_1279,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus,NCBITaxon_1280,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_caprae_capitis,NCBITaxon_29388,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_carnosus,NCBITaxon_1281,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,NCBITaxon_1282,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus,NCBITaxon_1283,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,NCBITaxon_1290,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus,NCBITaxon_29385,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri,NCBITaxon_1292,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,NCBITaxon_186826,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,NCBITaxon_186827,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus,NCBITaxon_1375,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_viridans,NCBITaxon_1377,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,NCBITaxon_186828,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum,NCBITaxon_29393,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum|s__Dolosigranulum_pigrum,NCBITaxon_29394,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,NCBITaxon_117563,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified,NCBITaxon_2630493,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,NCBITaxon_33958,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,NCBITaxon_1578,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus,NCBITaxon_47770,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_curvatus,NCBITaxon_28038,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,NCBITaxon_1584,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus,NCBITaxon_1587,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners,NCBITaxon_147802,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri,NCBITaxon_1598,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sakei,NCBITaxon_1599,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae,NCBITaxon_81850,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc,NCBITaxon_1243,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides,NCBITaxon_1245,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,NCBITaxon_1300,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus,NCBITaxon_1357,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,NCBITaxon_1358,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,NCBITaxon_1301,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,NCBITaxon_113107,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_dysgalactiae,NCBITaxon_1334,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,NCBITaxon_68892,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_intermedius,NCBITaxon_1338,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,NCBITaxon_1313,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,NCBITaxon_1318,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis,NCBITaxon_1348,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,NCBITaxon_1304,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis,NCBITaxon_1305,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,NCBITaxon_1308,UO:0000187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,NCBITaxon_1343,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia,NCBITaxon_186801,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,NCBITaxon_186802,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis,NCBITaxon_538999,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia,NCBITaxon_150022,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia|s__Finegoldia_magna,NCBITaxon_1260,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas,NCBITaxon_543311,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified,NCBITaxon_1151464,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,NCBITaxon_186806,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,NCBITaxon_1730,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,NCBITaxon_186803,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,NCBITaxon_572511,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,NCBITaxon_33038,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,NCBITaxon_33042,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,NCBITaxon_116085,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,NCBITaxon_541000,UO:0000187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,NCBITaxon_292632,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes,NCBITaxon_909932,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,NCBITaxon_909929,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,NCBITaxon_31977,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister,NCBITaxon_39948,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus,NCBITaxon_309120,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,NCBITaxon_158846,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,NCBITaxon_2638988,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,NCBITaxon_29465,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,NCBITaxon_29466,UO:0000187
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,NCBITaxon_2630086,UO:0000187
k__Bacteria|p__Fusobacteria,NCBITaxon_32066,UO:0000187
k__Bacteria|p__Fusobacteria|c__Fusobacteriia,NCBITaxon_203490,UO:0000187
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,NCBITaxon_203491,UO:0000187
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,NCBITaxon_203492,UO:0000187
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,NCBITaxon_848,UO:0000187
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,NCBITaxon_851,UO:0000187
k__Bacteria|p__Gemmatimonadetes,NCBITaxon_142182,UO:0000187
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes,NCBITaxon_219685,UO:0000187
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales,NCBITaxon_219686,UO:0000187
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae,NCBITaxon_219687,UO:0000187
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas,NCBITaxon_173479,UO:0000187
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca,NCBITaxon_173480,UO:0000187
k__Bacteria|p__Nitrospirae,NCBITaxon_40117,UO:0000187
k__Bacteria|p__Nitrospirae|c__Nitrospira,NCBITaxon_203693,UO:0000187
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales,NCBITaxon_189778,UO:0000187
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae,NCBITaxon_189779,UO:0000187
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira,NCBITaxon_1234,UO:0000187
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_defluvii,NCBITaxon_330214,UO:0000187
k__Bacteria|p__Proteobacteria,NCBITaxon_1224,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,NCBITaxon_28211,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,NCBITaxon_204458,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae,NCBITaxon_76892,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis,NCBITaxon_76890,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_unclassified,NCBITaxon_2628350,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas,NCBITaxon_41275,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_abyssalis,NCBITaxon_1125965,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_diminuta,NCBITaxon_293,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_unclassified,NCBITaxon_2622653,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter,NCBITaxon_75,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_unclassified,NCBITaxon_2648921,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides,NCBITaxon_155892,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium,NCBITaxon_20,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_zucineum,NCBITaxon_284016,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,NCBITaxon_356,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae,NCBITaxon_41294,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia,NCBITaxon_1033,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_birgiae,NCBITaxon_151414,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_broomeae,NCBITaxon_56946,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_clevelandensis,NCBITaxon_1034,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_felis,NCBITaxon_1035,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_unclassified,NCBITaxon_2642050,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobiaceae_noname,NCBITaxon_81426,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobiaceae_noname|s__Bradyrhizobiaceae_bacterium_SG_6C,NCBITaxon_709797,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter,NCBITaxon_911,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_unclassified,NCBITaxon_2620411,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Oligotropha,NCBITaxon_40136,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Oligotropha|s__Oligotropha_carboxidovorans,NCBITaxon_40137,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas,NCBITaxon_1073,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris,NCBITaxon_1076,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_unclassified,NCBITaxon_2638247,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae,NCBITaxon_118882,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella,NCBITaxon_234,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella|s__Brucella_ovis,NCBITaxon_236,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella|s__Brucella_pinnipedialis,NCBITaxon_120576,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae,NCBITaxon_45401,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobiaceae_unclassified,NCBITaxon_196771,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium,NCBITaxon_81,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_denitrificans,NCBITaxon_53399,UO:0000187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_unclassified,NCBITaxon_2619925,UO:0000187
